household_id,UF,SITUACAO
120006396_6,12,2
120006396_7,12,2
120006396_8,12,2
120006396_9,12,2
120006396_10,12,2
120006396_12,12,2
120006396_14,12,2
120006396_15,12,2
120006396_16,12,2
120006396_17,12,2
120003235_1,12,1
120003235_2,12,1
120003235_4,12,1
120003235_5,12,1
120003235_7,12,1
120003235_8,12,1
120003235_9,12,1
120003235_10,12,1
120003235_11,12,1
120003235_12,12,1
120003235_13,12,1
120000055_1,12,1
120000055_2,12,1
120000055_3,12,1
120000055_4,12,1
120000055_6,12,1
120000055_7,12,1
120000055_10,12,1
120000055_11,12,1
120000055_13,12,1
120001370_1,12,1
120001370_2,12,1
120001370_6,12,1
120001370_7,12,1
120001370_8,12,1
120001370_9,12,1
120005975_2,12,1
120005975_3,12,1
120005975_6,12,1
120005975_7,12,1
120005975_8,12,1
120005975_9,12,1
120005975_11,12,1
120005975_13,12,1
120005005_1,12,1
120005005_3,12,1
120005005_4,12,1
120005005_6,12,1
120005005_7,12,1
120005005_9,12,1
120005005_10,12,1
120005005_11,12,1
120005005_12,12,1
120005005_13,12,1
120005467_1,12,2
120005467_2,12,2
120005467_3,12,2
120005467_4,12,2
120005467_5,12,2
120005467_6,12,2
120005467_9,12,2
120005467_10,12,2
120005467_11,12,2
120005467_12,12,2
120005467_13,12,2
120005467_14,12,2
120005467_15,12,2
120005467_16,12,2
120005467_17,12,2
120002504_1,12,1
120002504_2,12,1
120002504_3,12,1
120002504_5,12,1
120002504_6,12,1
120002504_7,12,1
120002504_8,12,1
120002504_10,12,1
120002504_11,12,1
120002504_12,12,1
120002504_13,12,1
120002090_1,12,2
120002090_2,12,2
120002090_3,12,2
120002090_4,12,2
120002090_5,12,2
120002090_6,12,2
120002090_7,12,2
120002090_8,12,2
120002090_9,12,2
120002090_10,12,2
120002090_11,12,2
120002090_12,12,2
120002090_13,12,2
120002090_14,12,2
120002090_16,12,2
120002090_17,12,2
120001398_1,12,1
120001398_2,12,1
120001398_6,12,1
120001398_7,12,1
120001398_8,12,1
120001398_10,12,1
120001398_11,12,1
120001398_12,12,1
120005272_1,12,1
120005272_3,12,1
120005272_4,12,1
120005272_7,12,1
120005272_9,12,1
120005272_10,12,1
120005272_12,12,1
120005272_13,12,1
120002587_1,12,1
120002587_2,12,1
120002587_3,12,1
120002587_4,12,1
120002587_5,12,1
120002587_6,12,1
120002587_7,12,1
120002587_9,12,1
120002587_13,12,1
120004690_1,12,1
120004690_2,12,1
120004690_3,12,1
120004690_4,12,1
120004690_5,12,1
120004690_7,12,1
120004690_8,12,1
120004690_9,12,1
120004690_10,12,1
120004690_12,12,1
120004690_13,12,1
120001351_1,12,1
120001351_5,12,1
120001351_6,12,1
120001351_7,12,1
120001351_8,12,1
120001351_9,12,1
120001351_12,12,1
120001351_13,12,1
120004268_2,12,1
120004268_3,12,1
120004268_4,12,1
120004268_5,12,1
120004268_6,12,1
120004268_7,12,1
120004268_8,12,1
120004268_9,12,1
120004268_11,12,1
120004268_12,12,1
120004268_13,12,1
120001504_1,12,1
120001504_2,12,1
120001504_3,12,1
120001504_7,12,1
120001504_8,12,1
120001504_9,12,1
120001504_10,12,1
120001504_11,12,1
120001504_12,12,1
120002202_2,12,1
120002202_3,12,1
120002202_4,12,1
120002202_5,12,1
120002202_9,12,1
120002202_12,12,1
120002202_13,12,1
120007531_2,12,1
120007531_3,12,1
120007531_4,12,1
120007531_5,12,1
120007531_6,12,1
120007531_10,12,1
120007531_11,12,1
120007531_12,12,1
120007531_13,12,1
120002328_1,12,1
120002328_2,12,1
120002328_3,12,1
120002328_6,12,1
120002328_7,12,1
120002328_10,12,1
120002328_12,12,1
120002328_13,12,1
120003253_9,12,1
120003253_11,12,1
120003253_12,12,1
120004860_1,12,1
120004860_2,12,1
120004860_3,12,1
120004860_4,12,1
120004860_5,12,1
120004860_6,12,1
120004860_7,12,1
120004860_8,12,1
120004860_10,12,1
120004860_12,12,1
120004860_13,12,1
120005837_3,12,1
120005837_8,12,1
120005837_9,12,1
120005837_11,12,1
120000742_5,12,1
120000742_6,12,1
120000742_7,12,1
120000742_9,12,1
120000742_10,12,1
120000742_11,12,1
120000742_12,12,1
120004784_3,12,1
120004784_5,12,1
